exit_date,cumulative_pnl
2024-11-05,196950.0
2024-11-06,204680.0
2024-11-07,200520.0
2024-11-08,179560.0
2024-11-11,148170.0
2024-11-12,190850.0
2024-11-13,151090.0
2024-11-14,155640.0
2024-11-18,139730.0
2024-11-19,124810.0
2024-11-21,124230.0
2024-11-22,106760.0
2024-11-25,105360.0
2024-11-26,91110.0
2024-11-27,75840.0
2024-11-28,77940.0
2024-11-29,86440.0
2024-12-02,87310.0
2024-12-03,83310.0
2024-12-04,82450.0
2024-12-05,81470.0
2024-12-06,77090.0
2024-12-09,72090.0
2024-12-10,57090.0
2024-12-12,48410.0
2024-12-13,42260.0
2024-12-16,37530.0
2024-12-17,40300.0
2024-12-18,107500.0
2024-12-19,127990.0
2024-12-20,113740.0
2024-12-23,192580.0
2024-12-24,200400.0
2024-12-26,202270.0
2024-12-27,229100.0
2024-12-30,216800.0
2024-12-31,205920.0
2025-01-01,201970.0
2025-01-02,206530.0
2025-01-03,206930.0
2025-01-06,153030.0
2025-01-07,175610.0
2025-01-08,169560.0
2025-01-09,127930.0
2025-01-10,120770.0
2025-01-13,92890.0
2025-01-14,119170.0
2025-01-15,113290.0
2025-01-16,115300.0
2025-01-17,102250.0
2025-01-20,91770.0
2025-01-21,76250.0
2025-01-22,51350.0
2025-01-23,40770.0
2025-01-24,35020.0
2025-01-27,-2750.0
2025-01-28,-47060.0
2025-01-29,-53580.0
2025-01-30,-43110.0
2025-01-31,-46010.0
2025-02-01,-45530.0
2025-02-03,-67860.0
2025-02-04,-85760.0
2025-02-05,-89460.0
2025-02-06,-101160.0
2025-02-07,-104850.0
2025-02-10,-134520.0
2025-02-11,-187220.0
2025-02-12,-215210.0
2025-02-13,-211700.0
2025-02-14,-252170.0
2025-02-17,-270100.0
2025-02-18,-293250.0
2025-02-19,-308830.0
2025-02-20,-315360.0
2025-02-21,-308390.0
2025-02-24,-328770.0
2025-02-25,-344330.0
2025-02-27,-366040.0
2025-02-28,-392300.0
2025-03-03,-403890.0
2025-03-04,-409200.0
2025-03-05,-405170.0
2025-03-06,-369950.0
2025-03-07,-371500.0
2025-03-10,-394220.0
2025-03-11,-437720.0
2025-03-12,-444880.0
2025-03-13,-458920.0
2025-03-17,-471490.0
2025-03-18,-468460.0
2025-03-19,-461760.0
2025-03-20,-464840.0
2025-03-21,-467900.0
2025-03-25,-487900.0
2025-03-26,-518910.0
2025-03-27,-528580.0
2025-03-28,-541030.0
2025-04-01,-562940.0
2025-04-02,-544090.0
2025-04-03,-549240.0
2025-04-04,-589540.0
2025-04-07,-810090.0
2025-04-08,-776070.0
2025-04-09,-782140.0
2025-04-11,-773780.0
2025-04-15,-770290.0
2025-04-16,-772840.0
2025-04-17,-767330.0
2025-04-21,-767230.0
2025-04-22,-767280.0
2025-04-23,-777310.0
2025-04-24,-789120.0
2025-04-25,-855330.0
2025-04-28,-862400.0
2025-04-29,-866500.0
2025-04-30,-896080.0
2025-05-02,-906530.0
2025-05-05,-916940.0
2025-05-06,-984490.0
2025-05-07,-987320.0
2025-05-08,-995360.0
2025-05-09,-1039500.0
2025-05-12,-1011510.0
2025-05-13,-1001260.0
2025-05-14,-1002850.0
2025-05-16,-1002850.0
2025-05-19,-1010990.0
2025-05-20,-1030170.0
2025-05-21,-1037200.0
2025-05-22,-1041170.0
2025-05-23,-1046210.0
2025-05-26,-1051720.0
2025-05-27,-1061180.0
2025-05-28,-1053940.0
2025-05-29,-1058570.0
2025-05-30,-1079100.0
2025-06-02,-1086000.0
2025-06-03,-1082060.0
2025-06-04,-1060470.0
2025-06-05,-1059320.0
2025-06-06,-1063300.0
2025-06-09,-1049320.0
2025-06-10,-1045510.0
2025-06-11,-1065510.0
2025-06-12,-1011120.0
2025-06-13,-1017140.0
2025-06-16,-1013530.0
2025-06-17,-995300.0
2025-06-18,-937820.0
2025-06-19,-866830.0
2025-06-20,-730030.0
2025-06-23,-737090.0
2025-06-24,-737650.0
2025-06-25,-689020.0
2025-06-26,-685920.0
2025-06-27,-632030.0
2025-06-30,-605460.0
2025-07-01,-609990.0
2025-07-02,-618250.0
2025-07-03,-626800.0
2025-07-04,-563480.0
2025-07-07,-569880.0
2025-07-08,-572970.0
2025-07-09,-565170.0
2025-07-10,-566210.0
2025-07-11,-581130.0
2025-07-14,-534240.0
2025-07-15,-545230.0
2025-07-16,-545230.0
2025-07-17,-471200.0
2025-07-18,-472110.0
2025-07-21,-439230.0
2025-07-22,-415660.0
2025-07-23,-414790.0
2025-07-24,-442700.0
2025-07-25,-452480.0
2025-07-28,-437130.0
2025-07-29,-326640.0
2025-07-30,-317860.0
2025-07-31,-343760.0
2025-08-01,-363450.0
