Rank,Ticker,Sector,Industry,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50
991,EXPLEOSOL,Technology,Information Technology Services,99.66,49,28,52,29,835.5,12439846606.000061,-32.89,215405,94645,69799
992,CREST,Financial Services,Financial Conglomerates,99.62,49,57,57,57,365.25,10676361262.553406,-12.62,4347,5156,12141
993,SECMARK,Industrials,Consulting Services,99.57,49,47,77,38,125.04,1404961416.3603516,-16.31,3089,2019,1532
994,APOLSINHOT,Industrials,Specialty Business Services,99.51,49,54,35,56,1233.2,3050269200.0,-17.3,943,3344,2611
995,MAZDOCK,Industrials,Aerospace & Defense,99.49,49,28,47,39,2575.0,925273063696.2891,-15.89,1163501,864435,813034
996,TATAINVEST,Financial Services,Asset Management,99.42,49,44,61,55,687.9,319129829520.0,-41.93,621221,365326,368261
997,ZEEL,Communication Services,Broadcasting,99.42,49,53,31,45,94.42,101296377153.8182,-23.94,30070300,26662441,41436094
998,LUXIND,Consumer Cyclical,Apparel Manufacturing,99.41,49,47,84,11,1244.9,36885923180.4281,-31.72,21748,36007,43179
999,JSWDULUX,n/a,n/a,99.38,49,39,44,40,3055.3,134066125937.30371,-21.01,13825,23862,23956
1000,BANCOINDIA,Consumer Cyclical,Auto Parts,99.38,49,63,73,94,627.5,87031046931.06079,-28.68,186556,163357,202608
1001,CTE,Technology,Information Technology Services,99.36,49,15,19,7,37.75,606399286.5,-37.01,33487,17121,14864
1002,JSL,Basic Materials,Steel,99.33,49,42,71,81,732.75,588506161792.0,-17.11,442382,544322,570935
1003,TAJGVK,Consumer Cyclical,Lodging,99.29,49,50,16,40,353.9,22566267667.800446,-30.97,99308,134062,116768
1004,EMSLIMITED,Industrials,Engineering & Construction,99.26,49,61,5,1,398.85,22395573785.233704,-36.02,258299,596355,1443095
1005,SANDESH,Communication Services,Publishing,99.23,49,38,40,32,1096.55,7410463159.0,-23.77,13621,4742,3115
1006,KNAGRI,Consumer Defensive,Farm Products,99.23,49,49,57,4,202.83,5340767117.141876,-23.46,8998,8837,11086
1007,GMBREW,Consumer Defensive,Beverages - Wineries & Distilleries,99.15,49,64,64,90,901.1,20663899786.243103,-32.19,19840,85294,65758
1008,SANDUMA,Basic Materials,Steel,99.12,49,55,82,90,204.9,94809879658.91684,-24.95,1120660,862000,867897
1009,PODDARMENT,Basic Materials,Specialty Chemicals,99.1,49,28,56,40,265.25,2800827916.5649414,-13.03,6722,9151,6773
1010,AMBICAAGAR,Consumer Defensive,Household & Personal Products,99.05,49,49,44,47,24.51,423251125.5157471,-20.42,3492,3592,5631
1011,TVSELECT,Technology,Computer Hardware,99.04,48,72,69,32,458.9,9346985167.38144,-37.93,81544,101735,107323
1012,NAHARCAP,Financial Services,Capital Markets,98.98,48,38,57,48,263.94,4108337180.7731476,-16.71,14278,6232,4558
1013,YUKEN,Industrials,Specialty Industrial Machinery,98.94,48,33,16,35,804.5,9620868000.0,-28.74,12699,10986,10025
1014,KOTAKBANK,Financial Services,Banks - Regional,98.9,48,36,47,73,393.5,3826902389512.5,-13.17,11393018,16871349,15257109
1015,CDSL,Financial Services,Capital Markets,98.82,48,48,21,49,1332.5,278617894897.46094,-20.39,1151868,1660923,1740184
1016,CANFINHOME,Financial Services,Mortgage Finance,98.76,48,71,71,86,820.3,108374524865.7445,-15.56,222119,348632,281625
1017,NACLIND,Basic Materials,Agricultural Inputs,98.75,48,81,37,60,177.98,46099088058.85391,-47.57,767986,2422895,2165215
1018,CRAMC,Financial Services,Asset Management,98.7,48,29,26,36,261.45,51838562842.894775,-26.02,302916,1449671,998742
1019,20MICRONS,Basic Materials,Other Industrial Metals & Mining,98.7,48,63,24,47,188.53,7206562152.699799,-29.39,191026,197423,344889
1020,ADROITINFO,Technology,Information Technology Services,98.69,48,30,49,32,10.08,529732977.5,-17.38,39044,26281,27517
1021,XTGLOBAL,Technology,Software - Application,98.66,48,18,44,44,32.11,3754122472.25152,-30.57,147239,94163,76084
1022,HEMIPROP,Real Estate,Real Estate - Diversified,98.65,48,58,76,58,136.91,38027084648.109375,-28.2,374018,389230,451090
1023,FSL,Technology,Information Technology Services,98.65,48,35,8,7,279.7,175105934016.68784,-26.66,11843876,4935714,3432797
1024,KRYSTAL,Industrials,Specialty Business Services,98.63,48,66,52,84,602.55,8402732273.912109,-17.4,14920,17240,18202
